start,destination,transport_mode,distance,duration,cost
"25.90582,112.207372","25.808093,112.271926",骑行,15877.270401260104,3810.5448963024246,0.1984658800157513
"25.90582,112.207372","25.808093,112.271926",步行,15852.97192424031,11414.139785453024,0.0
"25.90582,112.207372","25.73685,112.2431",驾车,25429.678876164435,3051.561465139732,12.714839438082217
"25.90582,112.207372","25.73685,112.2431",骑行,25429.678876164435,6103.122930279464,0.31787098595205543
"25.90582,112.207372","25.73685,112.2431",步行,25417.134452754082,18300.33680598294,0.0
"25.90582,112.207372","25.904305,112.203287",驾车,956.5178490365472,114.78214188438565,0.4782589245182736
"25.90582,112.207372","25.904305,112.203287",骑行,956.5178490365472,229.5642837687713,0.01195647311295684
"25.90582,112.207372","25.904305,112.203287",步行,956.5178490365472,688.692851306314,0.0
"25.90582,112.207372","25.90751,112.19782",驾车,1330.3517683424195,159.64221220109033,0.6651758841712098
"25.90582,112.207372","25.90751,112.19782",骑行,1330.3517683424195,319.28442440218066,0.016629397104280245
"25.90582,112.207372","25.90751,112.19782",步行,1324.5616217247525,953.6843676418218,0.0
"25.90582,112.207372","112.25664,25.94996",驾车,34399.31063625886,4127.917276351062,17.19965531812943
"25.90582,112.207372","112.25664,25.94996",骑行,34399.31063625886,8255.834552702125,0.4299913829532358
"25.90582,112.207372","112.25664,25.94996",步行,34373.59540643828,24748.988692635565,0.0
"112.25664,25.94996","25.808093,112.271926",驾车,49092.873124286954,5891.1447749144345,24.546436562143477
"112.25664,25.94996","25.808093,112.271926",骑行,49092.87312428696,11782.28954982887,0.613660914053587
"112.25664,25.94996","25.808093,112.271926",步行,49061.31534949576,35324.147051636945,0.0
"112.25664,25.94996","25.73685,112.2431",驾车,57540.19604475753,6904.823525370904,28.770098022378768
"112.25664,25.94996","25.73685,112.2431",骑行,57540.19604475753,13809.647050741807,0.7192524505594693
"112.25664,25.94996","25.73685,112.2431",步行,57540.19604475753,41428.94115222542,0.0
"112.25664,25.94996","25.904305,112.203287",驾车,34172.120572063395,4100.654468647607,17.086060286031696
"112.25664,25.94996","25.904305,112.203287",骑行,34172.12057206339,8201.308937295213,0.4271515071507923
"112.25664,25.94996","25.904305,112.203287",步行,34140.562797272185,24581.205214035974,0.0
"112.25664,25.94996","25.90751,112.19782",驾车,33108.43082278732,3973.011698734478,16.55421541139366
"112.25664,25.94996","25.90751,112.19782",骑行,33108.43082278732,7946.023397468956,0.4138553852848415
"112.25664,25.94996","25.90751,112.19782",步行,33077.269621303894,23815.634127338806,0.0
"112.25664,25.94996","25.90582,112.207372",驾车,34407.63481952609,4128.91617834313,17.203817409763044
"112.25664,25.94996","25.90582,112.207372",骑行,34407.63481952609,8257.83235668626,0.4300954352440761
"112.25664,25.94996","25.90582,112.207372",步行,34373.59540643829,24748.98869263557,0.0
"25.808093,112.271926","25.73685,112.2431",驾车,11525.191921482483,1383.0230305778978,5.762595960741241
"25.808093,112.271926","25.73685,112.2431",骑行,11525.191921482483,2766.0460611557955,0.14406489901853103
"25.808093,112.271926","25.73685,112.2431",步行,11525.191921482483,8298.138183467388,0.0
"25.808093,112.271926","25.904305,112.203287",驾车,14958.938148721298,1795.0725778465555,7.479469074360649
"25.808093,112.271926","25.904305,112.203287",骑行,14958.938148721298,3590.145155693111,0.18698672685901624
"25.808093,112.271926","25.904305,112.203287",步行,14920.752552223561,10742.941837600963,0.0
"25.808093,112.271926","25.90751,112.19782",驾车,16022.231324689592,1922.667758962751,8.011115662344796
"25.808093,112.271926","25.90751,112.19782",骑行,16022.231324689592,3845.335517925502,0.2002778915586199
"25.808093,112.271926","25.90751,112.19782",步行,15984.045728191855,11508.512924298137,0.0
"25.808093,112.271926","25.90582,112.207372",驾车,15891.157520738052,1906.938902488566,7.945578760369026
"25.808093,112.271926","25.90582,112.207372",骑行,15891.157520738052,3813.877804977132,0.19863946900922566
"25.808093,112.271926","25.90582,112.207372",步行,15852.971924240315,11414.139785453028,0.0
"25.808093,112.271926","112.25664,25.94996",驾车,49100.30434662518,5892.0365215950205,24.55015217331259
"25.808093,112.271926","112.25664,25.94996",骑行,49100.30434662518,11784.073043190041,0.6137538043328148
"25.808093,112.271926","112.25664,25.94996",步行,49061.31534949574,35324.14705163693,0.0
"25.73685,112.2431","25.808093,112.271926",驾车,11525.191921482483,1383.0230305778978,5.762595960741241
"25.73685,112.2431","25.808093,112.271926",骑行,11525.191921482483,2766.0460611557955,0.14406489901853103
"25.73685,112.2431","25.808093,112.271926",步行,11525.191921482483,8298.138183467388,0.0
"25.73685,112.2431","25.904305,112.203287",驾车,24484.915080737323,2938.1898096884784,12.242457540368662
"25.73685,112.2431","25.904305,112.203287",骑行,24484.915080737323,5876.379619376957,0.3060614385092166
"25.73685,112.2431","25.904305,112.203287",步行,24473.161027127884,17620.675939532077,0.0
"25.73685,112.2431","25.90751,112.19782",驾车,25548.208256705613,3065.7849908046733,12.774104128352807
"25.73685,112.2431","25.90751,112.19782",骑行,25548.208256705613,6131.5699816093465,0.3193526032088202
"25.73685,112.2431","25.90751,112.19782",步行,25536.454203096175,18386.247026229248,0.0
"25.73685,112.2431","25.90582,112.207372",驾车,25417.13445275408,3050.0561343304894,12.70856722637704
"25.73685,112.2431","25.90582,112.207372",骑行,25417.13445275408,6100.112268660979,0.317714180659426
"25.73685,112.2431","25.90582,112.207372",步行,25417.13445275408,18300.336805982937,0.0
"25.73685,112.2431","112.25664,25.94996",驾车,57559.71222178935,6907.1654666147215,28.779856110894674
"25.73685,112.2431","112.25664,25.94996",骑行,57559.71222178935,13814.330933229443,0.7194964027723669
"25.73685,112.2431","112.25664,25.94996",步行,57540.19604475753,41428.94115222542,0.0
"25.904305,112.203287","25.808093,112.271926",驾车,14920.752552223554,1790.4903062668263,7.460376276111777
"25.904305,112.203287","25.808093,112.271926",骑行,14920.752552223554,3580.9806125336527,0.18650940690279444
"25.904305,112.203287","25.808093,112.271926",步行,14920.752552223554,10742.94183760096,0.0
"25.904305,112.203287","25.73685,112.2431",驾车,24473.161027127888,2936.7793232553463,12.236580513563943
"25.904305,112.203287","25.73685,112.2431",骑行,24473.161027127888,5873.558646510693,0.3059145128390986
"25.904305,112.203287","25.73685,112.2431",步行,24473.161027127888,17620.67593953208,0.0
"25.904305,112.203287","25.90751,112.19782",驾车,1063.2931759682947,127.59518111619535,0.5316465879841473
"25.904305,112.203287","25.90751,112.19782",骑行,1063.2931759682947,255.1903622323907,0.013291164699603683
"25.904305,112.203287","25.90751,112.19782",步行,1063.2931759682947,765.5710866971722,0.0
"25.904305,112.203287","25.90582,112.207372",驾车,994.864336772765,119.38372041273179,0.4974321683863825
"25.904305,112.203287","25.90582,112.207372",骑行,994.864336772765,238.76744082546358,0.012435804209659562
"25.904305,112.203287","25.90582,112.207372",步行,956.5178490365473,688.6928513063141,0.0
"25.904305,112.203287","112.25664,25.94996",驾车,34141.36619790387,4096.963943748465,17.070683098951935
"25.904305,112.203287","112.25664,25.94996",骑行,34141.36619790387,8193.92788749693,0.4267670774737984
"25.904305,112.203287","112.25664,25.94996",步行,34140.56279727217,24581.205214035963,0.0
"25.90751,112.19782","25.808093,112.271926",驾车,15996.357562511754,1919.5629075014103,7.998178781255877
"25.90751,112.19782","25.808093,112.271926",骑行,15996.357562511754,3839.1258150028207,0.19995446953139695
"25.90751,112.19782","25.808093,112.271926",步行,15984.045728191852,11508.512924298133,0.0
"25.90751,112.19782","25.73685,112.2431",驾车,25548.766037416084,3065.85192448993,12.774383018708042
"25.90751,112.19782","25.73685,112.2431",骑行,25548.766037416084,6131.70384897986,0.31935957546770105
"25.90751,112.19782","25.73685,112.2431",步行,25536.454203096182,18386.24702622925,0.0
"25.90751,112.19782","25.904305,112.203287",驾车,1075.6050102881966,129.07260123458357,0.5378025051440983
"25.90751,112.19782","25.904305,112.203287",骑行,1075.6050102881966,258.14520246916715,0.013445062628602459
"25.90751,112.19782","25.904305,112.203287",步行,1063.2931759682947,765.5710866971722,0.0
"25.90751,112.19782","25.90582,112.207372",驾车,1324.5616217247525,158.94739460697028,0.6622808108623762
"25.90751,112.19782","25.90582,112.207372",骑行,1324.5616217247525,317.89478921394056,0.016557020271559406
"25.90751,112.19782","25.90582,112.207372",步行,1324.5616217247525,953.6843676418218,0.0
"25.90751,112.19782","112.25664,25.94996",驾车,33078.07302193558,3969.36876263227,16.53903651096779
"25.90751,112.19782","112.25664,25.94996",骑行,33078.07302193558,7938.73752526454,0.41347591277419476
"25.90751,112.19782","112.25664,25.94996",步行,33077.26962130387,23815.634127338788,0.0
"25.90582,112.207372","25.808093,112.271926",驾车,15877.270401260104,1905.2724481512123,7.938635200630052
"25.90582,112.207372","25.808093,112.271926",骑行,15877.270401260104,3810.5448963024246,0.1984658800157513
"25.90582,112.207372","25.808093,112.271926",步行,15852.97192424031,11414.139785453024,0.0
"25.90582,112.207372","25.73685,112.2431",驾车,25429.678876164435,3051.561465139732,12.714839438082217
"25.90582,112.207372","25.73685,112.2431",骑行,25429.678876164435,6103.122930279464,0.31787098595205543
"25.90582,112.207372","25.73685,112.2431",步行,25417.134452754082,18300.33680598294,0.0
"25.90582,112.207372","25.904305,112.203287",驾车,956.5178490365472,114.78214188438565,0.4782589245182736
"25.90582,112.207372","25.904305,112.203287",骑行,956.5178490365472,229.5642837687713,0.01195647311295684
"25.90582,112.207372","25.904305,112.203287",步行,956.5178490365472,688.692851306314,0.0
"25.90582,112.207372","25.90751,112.19782",驾车,1330.3517683424195,159.64221220109033,0.6651758841712098
"25.90582,112.207372","25.90751,112.19782",骑行,1330.3517683424195,319.28442440218066,0.016629397104280245
"25.90582,112.207372","25.90751,112.19782",步行,1324.5616217247525,953.6843676418218,0.0
"25.90582,112.207372","112.25664,25.94996",驾车,34399.31063625886,4127.917276351062,17.19965531812943
"25.90582,112.207372","112.25664,25.94996",骑行,34399.31063625886,8255.834552702125,0.4299913829532358
"25.90582,112.207372","112.25664,25.94996",步行,34373.59540643828,24748.988692635565,0.0
"112.25664,25.94996","25.808093,112.271926",驾车,49092.873124286954,5891.1447749144345,24.546436562143477
"112.25664,25.94996","25.808093,112.271926",骑行,49092.87312428696,11782.28954982887,0.613660914053587
"112.25664,25.94996","25.808093,112.271926",步行,49061.31534949576,35324.147051636945,0.0
"112.25664,25.94996","25.73685,112.2431",驾车,57540.19604475753,6904.823525370904,28.770098022378768
"112.25664,25.94996","25.73685,112.2431",骑行,57540.19604475753,13809.647050741807,0.7192524505594693
"112.25664,25.94996","25.73685,112.2431",步行,57540.19604475753,41428.94115222542,0.0
"112.25664,25.94996","25.904305,112.203287",驾车,34172.120572063395,4100.654468647607,17.086060286031696
"112.25664,25.94996","25.904305,112.203287",骑行,34172.12057206339,8201.308937295213,0.4271515071507923
"112.25664,25.94996","25.904305,112.203287",步行,34140.562797272185,24581.205214035974,0.0
"112.25664,25.94996","25.90751,112.19782",驾车,33108.43082278732,3973.011698734478,16.55421541139366
"112.25664,25.94996","25.90751,112.19782",骑行,33108.43082278732,7946.023397468956,0.4138553852848415
"112.25664,25.94996","25.90751,112.19782",步行,33077.269621303894,23815.634127338806,0.0
"112.25664,25.94996","25.90582,112.207372",驾车,34407.63481952609,4128.91617834313,17.203817409763044
"112.25664,25.94996","25.90582,112.207372",骑行,34407.63481952609,8257.83235668626,0.4300954352440761
"112.25664,25.94996","25.90582,112.207372",步行,34373.59540643829,24748.98869263557,0.0
